number,name,status
160,PEP 160 – Python 1.6 Release Schedule,
201,PEP 201 – Lockstep Iteration,
200,PEP 200 – Python 2.0 Release Schedule,
1,PEP 1 – PEP Purpose and Guidelines,
206,PEP 206 – Python Advanced Library,
204,PEP 204 – Range Literals,
202,PEP 202 – List Comprehensions,
207,PEP 207 – Rich Comparisons,
205,PEP 205 – Weak References,
203,PEP 203 – Augmented Assignments,
208,PEP 208 – Reworking the Coercion Model,
103,PEP 103 – Collecting information about git,
102,PEP 102 – Doing Python Micro Releases,
42,PEP 42 – Feature Requests,
101,PEP 101 – Doing Python Releases 101,
100,PEP 100 – Python Unicode Integration,
8104,PEP 8104 – 2023 Term Steering Council election,
8103,PEP 8103 – 2022 Term Steering Council election,
8102,PEP 8102 – 2021 Term Steering Council election,
8100,PEP 8100 – January 2019 Steering Council election,
8101,PEP 8101 – 2020 Term Steering Council election,
8010,PEP 8010 – The Technical Leader Governance Model,
8015,PEP 8015 – Organization of the Python community,
8016,PEP 8016 – The Steering Council Model,
8014,PEP 8014 – The Commons Governance Model,
8011,PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,
8013,PEP 8013 – The External Council Governance Model,
8012,PEP 8012 – The Community Governance Model,
8002,PEP 8002 – Open Source Governance Survey,
8001,PEP 8001 – Python Governance Voting Process,
3333,PEP 3333 – Python Web Server Gateway Interface v1.0.1,
8000,PEP 8000 – Python Language Governance Proposal Overview,
3156,PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,
3155,PEP 3155 – Qualified name for classes and functions,
3153,PEP 3153 – Asynchronous IO support,
3154,PEP 3154 – Pickle protocol version 4,
3152,PEP 3152 – Cofunctions,
3148,PEP 3148 – futures - execute computations asynchronously,
3146,PEP 3146 – Merging Unladen Swallow into CPython,
3150,PEP 3150 – Statement local namespaces (aka “given” clause),
3151,PEP 3151 – Reworking the OS and IO exception hierarchy,
3145,PEP 3145 – Asynchronous I/O For subprocess.Popen,
3147,PEP 3147 – PYC Repository Directories,
3149,PEP 3149 – ABI version tagged .so files,
3144,PEP 3144 – IP Address Manipulation Library for the Python Standard Library,
3142,PEP 3142 – Add a “while” clause to generator expressions,
3143,PEP 3143 – Standard daemon process library,
3141,PEP 3141 – A Type Hierarchy for Numbers,
3140,"PEP 3140 – str(container) should call str(item), not repr(item)",
3139,PEP 3139 – Cleaning out sys and the “interpreter” module,
3135,PEP 3135 – New Super,
3136,PEP 3136 – Labeled break and continue,
3138,PEP 3138 – String representation in Python 3000,
3137,PEP 3137 – Immutable Bytes and Mutable Buffer,
3134,PEP 3134 – Exception Chaining and Embedded Tracebacks,
3130,PEP 3130 – Access to Current Module/Class/Function,
3133,PEP 3133 – Introducing Roles,
3129,PEP 3129 – Class Decorators,
3131,PEP 3131 – Supporting Non-ASCII Identifiers,
3132,PEP 3132 – Extended Iterable Unpacking,
3127,PEP 3127 – Integer Literal Support and Syntax,
3126,PEP 3126 – Remove Implicit String Concatenation,
3125,PEP 3125 – Remove Backslash Continuation,
3128,PEP 3128 – BList: A Faster List-like Type,
3123,PEP 3123 – Making PyObject_HEAD conform to standard C,
3124,"PEP 3124 – Overloading, Generic Functions, Interfaces, and Adaptation",
3120,PEP 3120 – Using UTF-8 as the default source encoding,
3119,PEP 3119 – Introducing Abstract Base Classes,
3122,PEP 3122 – Delineation of the main module,
3121,PEP 3121 – Extension Module Initialization and Finalization,
3117,PEP 3117 – Postfix type declarations,
3118,PEP 3118 – Revising the buffer protocol,
3115,PEP 3115 – Metaclasses in Python 3000,
3116,PEP 3116 – New I/O,
3114,PEP 3114 – Renaming iterator.next() to iterator.__next__(),
3113,PEP 3113 – Removal of Tuple Parameter Unpacking,
3111,PEP 3111 – Simple input built-in in Python 3000,
3109,PEP 3109 – Raising Exceptions in Python 3000,
3112,PEP 3112 – Bytes literals in Python 3000,
3110,PEP 3110 – Catching Exceptions in Python 3000,
3108,PEP 3108 – Standard Library Reorganization,
3107,PEP 3107 – Function Annotations,
3106,"PEP 3106 – Revamping dict.keys(), .values() and .items()",
3105,PEP 3105 – Make print a function,
3104,PEP 3104 – Access to Names in Outer Scopes,
